title,skills,company_name,link
Azure Data Engineer,"['data engineering', 'database design', 'data lakes', 'data warehouses', 'azure data factory', 'python', 'scala', 'nosql', 'written communication', 'sql developer']",AbsolutData Research & Analytics  ( P )  Ltd,https://www.timesjobs.com/job-detail/azure-data-engineer-absolutdata-research-analytics-p-ltd-gurgaon-4-to-8-yrs-jobid-UpU0TSx1zf9zpSvf__PLUS__uAgZw==&source=srp
Odoo Developer | Excrin,"['css', 'jquery', 'sql', 'database', 'git', 'linux', 'web development', 'html', 'mongodb', 'python', 'ubuntu', 'svn', 'openerp', 'javascript', 'django', 'cassandra', 'application support', 'angularjs']",Excrin Think Labs,https://www.timesjobs.com/job-detail/odoo-developer-excrin-excrin-think-labs-chennai-2-to-3-yrs-jobid-2hf8HTRTQYlzpSvf__PLUS__uAgZw==&source=srp
Lead Data Analyst,"['apache', 'xml', 'ssrs', 'python', 'oracle', 'javascript', 'business objects', 'algorithms', 'data mining', 'bi', 'sql', 'hadoop', 'sas', 'written communication']",grazitti interactive,https://www.timesjobs.com/job-detail/lead-data-analyst-grazitti-interactive-mohali-6-to-9-yrs-jobid-t5NhZXvxPntzpSvf__PLUS__uAgZw==&source=srp
Front End Developer,"['algorithms', 'css', 'bootstrap', 'ajax', 'jquery', 'backbone.js', 'java', 'html', 'mysql', 'data structures', 'api', 'python', 'oracle', 'javascript', 'node.js', 'php', 'angularjs']",cloudxlab,https://www.timesjobs.com/job-detail/front-end-developer-cloudxlab-bengaluru-bangalore-0-to-3-yrs-jobid-9oPWw1MdecJzpSvf__PLUS__uAgZw==&source=srp
Senior Engineer,"['docker', 'sql', 'security', 'java', 'mks', 'devops', 'object oriented programming', 'bpm', 'middleware', 'python', 'nosql', 'spring boot', 'neo4j', 'written communication']",cloudxlab,https://www.timesjobs.com/job-detail/senior-engineer-cloudxlab-bengaluru-bangalore-3-to-6-yrs-jobid-pmRBFB__PLUS____PLUS__kvFzpSvf__PLUS__uAgZw==&source=srp
Artificial Intelligence  &  Machine learning,"['hive', 'algorithms', 'bi', 'data warehousing', 'ensemble', 'artificial intelligence', 'pig', 'd3.js', 'apache', 'hadoop', 'mongodb', 'python', 'machine learning']",SEVEN CONSULTANCY,https://www.timesjobs.com/job-detail/artificial-intelligence-machine-learning-seven-consultancy-pune-0-to-3-yrs-jobid-__SLASH__0eVj2GHK6BzpSvf__PLUS__uAgZw==&source=srp
Sr.Blockchain Developer,"['python', 'c', 'information technology', 'composer', 'cryptography', 'javascript', 'sql', 'nosql', 'node.js', 'java', 'senior software developer', 'software engineering', 'software developer']",SEVEN CONSULTANCY,https://www.timesjobs.com/job-detail/sr-blockchain-developer-seven-consultancy-hyderabad-secunderabad-pune-12-to-15-yrs-jobid-aj4wSwirvC9zpSvf__PLUS__uAgZw==&source=srp
Full stack developer,"['c#', 'python', 'github', 'html5', 'wordpress', 'php developer', 'jquery', 'javascript', 'java', 'git', 'php', 'multithreading', 'api', 'pl  /  sql']",SEVEN CONSULTANCY,https://www.timesjobs.com/job-detail/full-stack-developer-seven-consultancy-mumbai-0-to-3-yrs-jobid-MFY547JJtctzpSvf__PLUS__uAgZw==&source=srp
Full stack developer,"['python', 'github', 'html5', 'wordpress', 'php developer', 'ajax', 'jquery', 'javascript', 'database', 'java', 'git', 'codeigniter', 'linux', 'opencart', 'php', 'mysql', 'mvc']",SEVEN CONSULTANCY,https://www.timesjobs.com/job-detail/full-stack-developer-seven-consultancy-mumbai-0-to-3-yrs-jobid-xjTbhX0MR__SLASH__5zpSvf__PLUS__uAgZw==&source=srp
"Architect ,  Server - Tech Enablement ,  Central Tech - Zynga - Zynga","['backend development', 'aws', 'java  /  go  /  python  /  php', 'cloud computing', 'database systems', 'games', 'web development', 'nosql', 'messaging', 'algorithms', 'debugging', 'san']",ZYNGA,https://www.timesjobs.com/job-detail/architect-server-tech-enablement-central-tech-zynga-zynga-zynga-bengaluru-bangalore-8-to-11-yrs-jobid-VOm90ZPxWa1zpSvf__PLUS__uAgZw==&source=srp
Chief Technology Officer,"['information technology', 'rest api', 'mysql', 'big data', 'python', 'laravel', 'nosql', 'mortgage banking', 'security', 'codeigniter', 'mobile', 'project delivery', 'php']",Zivanta Analytics,https://www.timesjobs.com/job-detail/chief-technology-officer-zivanta-analytics-kolkata-5-to-8-yrs-jobid-XEqwh71bZ5tzpSvf__PLUS__uAgZw==&source=srp
SDE2 Backend Node.js Developer,"['1  )   NodeJS 2  )   ExpressJS 3  )   Ethereum Blockchain 4  )   Solidity 5  )   RESTful APIs', 'algorithms', 'python', 'github', 'docker', 'security', 'node.js', 'infrastructure']",Benchire,https://www.timesjobs.com/job-detail/sde2-backend-node-js-developer-benchire-gurgaon-4-to-7-yrs-jobid-RznKe8cx7QJzpSvf__PLUS__uAgZw==&source=srp
